temp1,temp2,trans1,trans2
44.25,32.63,1,0
44.25,32.56,1,0
44.19,32.63,1,0
44.19,32.56,1,0
44.19,32.63,1,0
44.19,32.56,1,0
44.19,32.63,1,0
44.19,32.63,1,0
44.25,32.63,1,0
44.25,32.63,1,0
44.25,32.63,1,0
44.25,32.63,1,0
44.25,32.63,1,0
44.19,32.56,1,0
44.06,32.50,1,0
44.00,32.44,1,0
44.06,32.50,1,0
44.13,32.50,1,0
44.19,32.50,1,0
44.19,32.50,1,0
44.25,32.56,1,0
44.25,32.56,1,0
44.25,32.56,1,0
44.25,32.56,1,0
44.25,32.56,1,0
44.25,32.56,1,0
44.25,32.56,1,0
44.25,32.56,0,0
44.25,32.56,0,0
44.25,32.56,0,0
44.25,32.56,0,0
44.25,32.56,0,0
44.19,32.56,0,0
44.13,32.56,0,0
44.06,32.56,0,0
43.94,32.56,0,0
43.88,32.56,0,0
43.75,32.56,0,0
43.63,32.56,0,0
43.50,32.56,0,0
43.38,32.56,0,0
43.19,32.56,0,0
43.06,32.56,0,0
42.88,32.56,0,0
42.69,32.56,0,0
42.50,32.56,0,0
42.31,32.50,0,0
42.19,32.56,0,0
42.06,32.56,0,0
41.94,32.50,0,0
41.69,32.50,0,0
41.50,32.50,0,0
41.31,32.50,0,0
41.19,32.50,0,0
41.00,32.50,0,0
40.81,32.44,0,0
40.69,32.50,0,0
40.50,32.44,0,0
40.38,32.44,0,0
40.19,32.44,0,0
40.06,32.44,0,0
39.94,32.44,0,0
39.81,32.44,0,0
39.69,32.44,0,0
39.56,32.44,0,0
39.38,32.44,0,0
39.25,32.44,0,0
39.06,32.38,0,0
38.94,32.38,0,0
38.81,32.38,0,0
38.69,32.38,0,0
38.56,32.38,0,0
38.44,32.38,0,0
38.31,32.38,0,0
38.25,32.38,0,0
38.13,32.38,0,0
38.06,32.38,0,0
37.94,32.38,0,0
37.88,32.38,0,0
37.81,32.38,0,0
37.69,32.38,0,0
37.56,32.38,0,0
37.50,32.38,0,0
37.38,32.38,0,0
37.31,32.38,0,0
37.25,32.38,0,0
37.13,32.38,0,0
37.06,32.38,0,0
37.00,32.31,0,0
36.88,32.31,0,0
36.81,32.31,0,0
36.69,32.31,0,0
36.63,32.31,0,0
36.56,32.25,0,0
36.50,32.25,0,0
36.38,32.25,0,0
36.31,32.25,0,0
36.25,32.25,0,0
36.19,32.25,0,0
