temp1,temp1,trans1,trans2
29.94,30.00,0,0
29.94,30.00,0,0
29.94,30.00,0,0
29.94,30.00,0,0
29.94,30.00,0,0
29.94,30.00,0,0
29.94,30.06,0,0
29.94,30.00,0,0
29.94,30.06,0,0
29.94,30.00,0,0
29.94,30.06,0,0
29.94,30.00,0,0
29.94,30.00,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
30.00,30.06,0,0
29.94,30.06,0,0
30.00,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
30.00,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
30.00,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
30.00,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
29.94,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.12,0,0
30.00,30.06,0,0
30.00,30.12,0,0
29.94,30.06,0,0
30.00,30.12,0,0
30.00,30.06,0,0
30.00,30.12,0,0
30.00,30.06,0,0
30.00,30.12,0,0
30.00,30.12,0,0
30.00,30.12,0,0
30.00,30.06,0,0
30.00,30.12,0,0
30.00,30.12,0,0
30.00,30.06,0,0
30.00,30.12,0,0
30.00,30.06,0,0
30.00,30.12,0,0
30.00,30.12,0,0
30.00,30.12,0,0
30.00,30.12,0,0
30.00,30.12,0,0
30.00,30.12,0,0
30.00,30.12,0,0
30.00,30.12,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.12,0,0
30.00,30.12,0,0
30.00,30.06,0,0
30.00,30.12,0,0
30.00,30.06,0,0
30.00,30.12,0,0
30.00,30.12,0,0
30.00,30.12,0,0
30.00,30.12,0,0
30.00,30.12,0,0
30.00,30.12,0,0
30.00,30.12,0,0
30.00,30.12,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.12,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.12,0,0
30.00,30.12,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.12,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
30.00,30.06,0,0
